1	NC_000001.11
KI270432.1	NT_187226.1
KI270433.1	NT_187227.1
KI270434.1	NT_187241.1
KI270435.1	NT_187424.1
KI270436.1	NT_187341.1
KI270438.1	NT_187425.1
KI270439.1	NT_187228.1
KI270440.1	NT_187229.1
KI270441.1	NT_187230.1
KI270442.1	NT_187420.1
KI270443.1	NT_187231.1
KI270445.1	NT_187232.1
KI270446.1	NT_187233.1
KI270447.1	NT_187234.1
KI270448.1	NT_187495.1
KI270449.1	NT_187349.1
KI270450.1	NT_187235.1
KI270464.1	NT_187238.1
KI270465.1	NT_187422.1
KI270466.1	NT_187421.1
KI270467.1	NT_187423.1
KI270468.1	NT_187426.1
KI270469.1	NT_187239.1
KI270470.1	NT_187240.1
KI270473.1	NT_187242.1
KI270476.1	NT_187243.1
KI270477.1	NT_187244.1
KI270478.1	NT_187245.1
KI270480.1	NT_187246.1
KI270482.1	NT_187247.1
KI270483.1	NT_187248.1
KI270484.1	NT_187249.1
KI270486.1	NT_187250.1
KI270487.1	NT_187251.1
KI270501.1	NT_187254.1
KI270506.1	NT_187255.1
KI270507.1	NT_187437.1
KI270508.1	NT_187430.1
KI270509.1	NT_187428.1
KI270510.1	NT_187427.1
KI270511.1	NT_187435.1
KI270512.1	NT_187432.1
KI270513.1	NT_187256.1
KI270514.1	NT_187257.1
KI270515.1	NT_187436.1
KI270516.1	NT_187431.1
KI270517.1	NT_187438.1
KI270518.1	NT_187429.1
KI270519.1	NT_187433.1
KI270520.1	NT_187258.1
KI270521.1	NT_187496.1
KI270522.1	NT_187434.1
KI270523.1	NT_187259.1
KI270524.1	NT_187260.1
KI270525.1	NT_187261.1
KI270526.1	NT_187262.1
KI270527.1	NT_187263.1
KI270528.1	NT_187440.1
KI270529.1	NT_187439.1
KI270530.1	NT_187441.1
KI270531.1	NT_187264.1
KI270532.1	NT_187265.1
KI270533.1	NT_187266.1
KI270534.1	NT_187267.1
KI270535.1	NT_187268.1
KI270536.1	NT_187269.1
KI270537.1	NT_187270.1
KI270538.1	NT_187443.1
KI270539.1	NT_187442.1
KI270540.1	NT_187271.1
KI270541.1	NT_187272.1
KI270542.1	NT_187273.1
KI270543.1	NT_187274.1
KI270544.1	NT_187444.1
KI270545.1	NT_187275.1
KI270546.1	NT_187276.1
KI270547.1	NT_187277.1
KI270548.1	NT_187445.1
KI270549.1	NT_187278.1
KI270550.1	NT_187279.1
KI270551.1	NT_187280.1
